Question;Option1;Option2;Option3;Option4;CorrectIndex
"What is the technical term for 'Dawn raid'";शेयर बाजार खुलने पर आकस्मिक भारी खरीद;शेयर बाजार बंद होने पर बिक्री;शेयर बाजार में गिरावट;शेयर बाजार में तेजी;0
"Identify the correct Hindi translation for 'Day book'";रोजनामचा / दैनिक बही;खाता बही;रोकड़ बही;पासबुक;0
"Select the correct Hindi translation for 'Day labourer'";दैनिक मजदूर / दिहाड़ी मजदूर;स्थायी मजदूर;कुशल मजदूर;अकुशल मजदूर;0
"What is the Hindi equivalent of 'Day loan / Clearing loan'";एक दिवसीय ऋण / दिनभर के लिए ऋण;दीर्घकालिक ऋण;सावधि ऋण;आवास ऋण;0
"Choose the correct meaning of 'Day trader'";दैनिक ट्रेडर;निवेशक;दलाल;बैंकर;0
"Select the correct Hindi translation for 'Day trading'";दैनिक ट्रेडिंग / सौदा;वायदा कारोबार;विकल्प कारोबार;स्वैप कारोबार;0
"In a professional context, what does 'Daylight exposure limit' mean?";दैनिक एक्सपोजर (खुली स्थिति) सीमा;साप्ताहिक सीमा;मासिक सीमा;वार्षिक सीमा;0
"What is the technical term for 'Days after date'";किसी तारीख के बाद दिन;तारीख से पहले दिन;तारीख वाले दिन;छुट्टी के दिन;0
"Identify the correct Hindi translation for 'Day-to-day business'";दैनिक कारोबार;साप्ताहिक कारोबार;मासिक कारोबार;वार्षिक कारोबार;0
"Select the correct Hindi translation for 'De facto'";वस्तुतः / तथ्यतः;विधितः;कानूनी तौर पर;सैद्धांतिक रूप से;0
"What is the Hindi equivalent of 'De jure'";विधितः;वस्तुतः;वास्तव में;व्यवहार में;0
"Choose the correct meaning of 'De novo'";नए सिरे से;पुराने तरीके से;यथास्थिति;समाप्त;0
"Select the correct Hindi translation for 'Dead account'";निष्क्रिय खाता;चालू खाता;बचत खाता;सावधि खाता;0
"In a professional context, what does 'Dead cat bounce' mean?";गिरते शेयरों में अस्थायी सुधार;शेयरों में भारी गिरावट;शेयरों में भारी उछाल;बाजार का बंद होना;0
"What is the technical term for 'Dead freight'";उपभोग निरपेक्ष / निष्फल माल भाड़ा;अग्रिम माल भाड़ा;बकाया माल भाड़ा;अतिरिक्त माल भाड़ा;0
"Identify the correct Hindi translation for 'Dead inventory'";निष्क्रिय माल-सूची;सक्रिय माल-सूची;नई माल-सूची;पुरानी माल-सूची;0
"Select the correct Hindi translation for 'Dead loan'";अशोध्य ऋण;वसूली योग्य ऋण;सुरक्षित ऋण;असुरक्षित ऋण;0
"What is the Hindi equivalent of 'Dead loss'";पूर्ण हानि / कुल घाटा;आंशिक हानि;काल्पनिक हानि;शुद्ध लाभ;0
"Choose the correct meaning of 'Dead register'";निष्क्रिय रजिस्टर;सक्रिय रजिस्टर;नया रजिस्टर;पुराना रजिस्टर;0
"Select the correct Hindi translation for 'Dead rent'";अनिवार्य किराया / उपभोग निरपेक्ष किराया;बाजार किराया;उचित किराया;नाममात्र किराया;0
"In a professional context, what does 'Dead security' mean?";निष्क्रिय प्रतिभूति;सक्रिय प्रतिभूति;सरकारी प्रतिभूति;विदेशी प्रतिभूति;0
"What is the technical term for 'Dead stock'";जड़ वस्तु / डेड स्टॉक;जीवित स्टॉक;चल स्टॉक;बिका हुआ स्टॉक;0
"Identify the correct Hindi translation for 'Dead weight'";कुल / पूर्ण भार;शुद्ध भार;आंशिक भार;अनुमानित भार;0
"Select the correct Hindi translation for 'Dead weight debt'";अनुत्पादक कर्ज;उत्पादक कर्ज;विदेशी कर्ज;सरकारी कर्ज;0
"What is the Hindi equivalent of 'Deadline'";अंतिम / निर्धारित तिथि;प्रारंभिक तिथि;परिपक्वता तिथि;भुगतान तिथि;0
"Choose the correct meaning of 'Deal'";1. सौदा 2. कार्य / कार्रवाई करना;बातचीत;विवाद;समझौता;0
"Select the correct Hindi translation for 'Dealer'";व्यापारी;ग्राहक;दलाल;एजेंट;0
"In a professional context, what does 'Dealer\'s licence' mean?";व्यापारी लाइसेंस;दलाल लाइसेंस;आयात लाइसेंस;निर्यात लाइसेंस;0
"What is the technical term for 'Dealings'";व्यवहार / लेनदेन;बातचीत;समझौता;विवाद;0
"Identify the correct Hindi translation for 'Dealings in foreign exchange'";विदेशी मुद्रा कारोबार;शेयर कारोबार;सोना कारोबार;कपड़ा कारोबार;0
"Select the correct Hindi translation for 'Dealings in money'";मुद्रा का लेनदेन;वस्तु का लेनदेन;शेयर का लेनदेन;जमीन का लेनदेन;0
"What is the Hindi equivalent of 'Dear money'";महंगी / दुर्लभ मुद्रा;सस्ती मुद्रा;सुलभ मुद्रा;विदेशी मुद्रा;0
"Choose the correct meaning of 'Dearness allowance'";महंगाई भत्ता;यात्रा भत्ता;मकान किराया भत्ता;चिकित्सा भत्ता;0
"Select the correct Hindi translation for 'Death benefit'";मृत्यु पर देय लाभ;पेंशन लाभ;बीमा लाभ;ब्याज लाभ;0
"In a professional context, what does 'Death duty' mean?";उत्तराधिकार शुल्क;आय कर;संपत्ति कर;उपहार कर;0
"What is the technical term for 'Death rate'";मृत्यु दर;जन्म दर;ब्याज दर;विकास दर;0
"Identify the correct Hindi translation for 'Death-cum-retirement gratuity'";मृत्यु-सह-सेवानिवृत्ति उपदान;पेंशन योजना;भविष्य निधि;जीवन बीमा;0
"Select the correct Hindi translation for 'Debar'";विवर्जित करना / रोकना;अनुमति देना;आमंत्रित करना;प्रोत्साहित करना;0
"What is the Hindi equivalent of 'Debase'";(मुद्रा में) अपमिश्रण / खोट;शुद्ध करना;मूल्य बढ़ाना;जारी करना;0
"Choose the correct meaning of 'Debased coin'";धातुह्रासित सिक्का;शुद्ध सिक्का;नया सिक्का;विदेशी सिक्का;0
"Select the correct Hindi translation for 'Debased currency'";आधारच्युत मुद्रा;मानक मुद्रा;सस्ती मुद्रा;महंगी मुद्रा;0
"In a professional context, what does 'Debauched currency' mean?";सदोष / दोषयुक्त मुद्रा;शुद्ध मुद्रा;नई मुद्रा;विदेशी मुद्रा;0
"What is the technical term for 'Debenture'";डिबेंचर / ऋणपत्र;शेयर;बॉण्ड;हुंडी;0
"Identify the correct Hindi translation for 'Debenture bond'";डिबेंचर बॉण्ड;शेयर बॉण्ड;सरकारी बॉण्ड;बचत बॉण्ड;0
"Select the correct Hindi translation for 'Debenture call book'";डिबेंचर मांग बही;डिबेंचर आबंटन बही;डिबेंचर ब्याज बही;डिबेंचर रजिस्टर;0
"What is the Hindi equivalent of 'Debenture holder'";डिबेंचर धारक;शेयर धारक;खाता धारक;पॉलिसी धारक;0
"Choose the correct meaning of 'Debenture interest book'";डिबेंचर ब्याज बही;डिबेंचर मांग बही;डिबेंचर आबंटन बही;डिबेंचर रजिस्टर;0
"Select the correct Hindi translation for 'Debenture redemption fund'";डिबेंचर मोचन निधि;डिबेंचर ब्याज निधि;डिबेंचर विकास निधि;डिबेंचर आरक्षित निधि;0
"In a professional context, what does 'Debenture stock' mean?";डिबेंचर स्टॉक;शेयर स्टॉक;पूंजी स्टॉक;ऋण स्टॉक;0
"What is the technical term for 'Debenture transfer register'";डिबेंचर अंतरण रजिस्टर;डिबेंचर आबंटन रजिस्टर;डिबेंचर धारक रजिस्टर;डिबेंचर ब्याज रजिस्टर;0
"Identify the correct Hindi translation for 'Debenture trust deeds'";डिबेंचर न्यास विलेख;डिबेंचर अंतरण विलेख;डिबेंचर बिक्री विलेख;डिबेंचर गिरवी विलेख;0
"Select the correct Hindi translation for 'Debit'";नामे;जमा;शेष;योग;0
"What is the Hindi equivalent of 'Debit (Dr.) side'";नामे पक्ष;जमा पक्ष;संपत्ति पक्ष;दायित्व पक्ष;0
"Choose the correct meaning of 'Debit account'";नामे लेखा;जमा लेखा;लाभ लेखा;हानि लेखा;0
"Select the correct Hindi translation for 'Debit advice'";नामे सूचना;जमा सूचना;भुगतान सूचना;वसूली सूचना;0
"In a professional context, what does 'Debit balance' mean?";नामे शेष / बाकी;जमा शेष;शून्य शेष;अंतिम शेष;0
"What is the technical term for 'Debit voucher'";नामे वाउचर;जमा वाउचर;भुगतान वाउचर;रसीद वाउचर;0
"Identify the correct Hindi translation for 'Debitable'";नामे योग्य;जमा योग्य;भुगतान योग्य;वसूली योग्य;0
"Select the correct Hindi translation for 'Debited'";नामे डाला गया;जमा किया गया;भुगतान किया गया;वसूली की गई;0
"What is the Hindi equivalent of 'Debt'";कर्ज / ऋण;जमा;बचत;निवेश;0
"Choose the correct meaning of 'Debt account'";कर्ज खाता;जमा खाता;बचत खाता;चालू खाता;0
"Select the correct Hindi translation for 'Debt assignment'";कर्ज समनुदेशन;कर्ज माफी;कर्ज वसूली;कर्ज पुनर्भुगतान;0
"In a professional context, what does 'Debt balances' mean?";कर्ज शेष;जमा शेष;बचत शेष;निवेश शेष;0
"What is the technical term for 'Debt charges'";कर्ज प्रभार;ब्याज प्रभार;सेवा प्रभार;जुर्माना;0
"Identify the correct Hindi translation for 'Debt collection'";कर्ज वसूली;कर्ज वितरण;कर्ज माफी;कर्ज रद्दीकरण;0
"Select the correct Hindi translation for 'Debt conciliation'";कर्ज सुलह / निपटान;कर्ज वृद्धि;कर्ज माफी;कर्ज वसूली;0
"What is the Hindi equivalent of 'Debt creating funds'";कर्ज सर्जक निधियां;कर्ज मुक्त निधियां;अनुदान निधियां;सहायता निधियां;0
"Choose the correct meaning of 'Debt discounting'";कर्ज भुनाना;कर्ज देना;कर्ज लेना;कर्ज माफ करना;0
"Select the correct Hindi translation for 'Debt equity ratio'";कर्ज इक्विटी अनुपात;लाभ-हानि अनुपात;तरलता अनुपात;संपत्ति अनुपात;0
"In a professional context, what does 'Debt limit' mean?";कर्ज सीमा;जमा सीमा;व्यय सीमा;आय सीमा;0
"What is the technical term for 'Debt management'";कर्ज प्रबंधन;निधि प्रबंधन;जोखिम प्रबंधन;संपत्ति प्रबंधन;0
"Identify the correct Hindi translation for 'Debt market'";कर्ज बाजार;शेयर बाजार;मुद्रा बाजार;वायदा बाजार;0
"Select the correct Hindi translation for 'Debt monetization'";कर्ज मुद्रीकरण;कर्ज माफी;कर्ज वसूली;कर्ज भुगतान;0
"What is the Hindi equivalent of 'Debt not wiped off'";असमाप्त कर्ज;समाप्त कर्ज;माफ किया गया कर्ज;वसूला गया कर्ज;0
"Choose the correct meaning of 'Debt redemption'";कर्ज मोचन / कर्ज की पूर्ण चुकौती;कर्ज लेना;कर्ज देना;कर्ज माफ करना;0
"Select the correct Hindi translation for 'Debt redemption levy'";कर्ज मोचन कर;आय कर;बिक्री कर;संपत्ति कर;0
"In a professional context, what does 'Debt refinancing' mean?";कर्ज का पुनर्वित्तपोषण;कर्ज का भुगतान;कर्ज का रद्दीकरण;कर्ज की वसूली;0
"What is the technical term for 'Debt relief measures'";कर्ज राहत संबंधी उपाय;कर्ज वसूली उपाय;कर्ज माफी उपाय;कर्ज वृद्धि उपाय;0
"Identify the correct Hindi translation for 'Debt repudiation'";कर्ज नकार / निराकरण;कर्ज स्वीकृति;कर्ज भुगतान;कर्ज वसूली;0
"Select the correct Hindi translation for 'Debt rescheduling'";कर्ज का पुनर्निर्धारण;कर्ज की माफी;कर्ज की वसूली;कर्ज का भुगतान;0
"What is the Hindi equivalent of 'Debt restructuring'";कर्ज की पुनर्रचना / पुनः संरचना;कर्ज की समाप्ति;कर्ज की वृद्धि;कर्ज की वसूली;0
"Choose the correct meaning of 'Debt ridden farmer'";कर्ज ग्रस्त किसान;धनी किसान;भूमिहीन किसान;सीमांत किसान;0
"Select the correct Hindi translation for 'Debt service coverage ratio'";कर्ज चुकौती व्यापन / कवरेज अनुपात;ब्याज व्यापन अनुपात;लाभांश व्यापन अनुपात;पूंजी व्यापन अनुपात;0
"In a professional context, what does 'Debt service ratio' mean?";कर्ज चुकौती अनुपात;ब्याज भुगतान अनुपात;लाभांश भुगतान अनुपात;पूंजी भुगतान अनुपात;0
"What is the technical term for 'Debt servicing'";कर्ज चुकौती;कर्ज वितरण;कर्ज माफी;कर्ज वसूली;0
"Identify the correct Hindi translation for 'Debt trap'";कर्ज जाल;कर्ज मुक्ति;कर्ज राहत;कर्ज सुविधा;0
"Select the correct Hindi translation for 'Debt/loan provider'";कर्जदाता / साहूकार;कर्जदार;दलाल;एजेंट;0
"What is the Hindi equivalent of 'Debt equity norms'";कर्ज इक्विटी मानदंड;पूंजी मानदंड;ब्याज मानदंड;लाभांश मानदंड;0
"Choose the correct meaning of 'Debt equity swap'";कर्ज इक्विटी अदला-बदली / स्वैप;मुद्रा स्वैप;ब्याज दर स्वैप;परिसंपत्ति स्वैप;0
"Select the correct Hindi translation for 'Debtor'";देनदार / कर्जदार / ऋणी;लेनदार;साहूकार;निवेशक;0
"In a professional context, what does 'Debtor country' mean?";देनदार देश / कर्जदार देश;लेनदार देश;विकसित देश;विकासशील देश;0
"What is the technical term for 'Debtor in possession'";कब्जेदार देनदार;फरार देनदार;दिवालिया देनदार;मुक्त देनदार;0
"Identify the correct Hindi translation for 'Debtor\'s capacity'";देनदार / कर्जदार की क्षमता;लेनदार की क्षमता;बैंक की क्षमता;सरकार की क्षमता;0
"Select the correct Hindi translation for 'Debtor\'s ledger'";देनदार खाताबही;लेनदार खाताबही;रोकड़ बही;जर्नल;0
"What is the Hindi equivalent of 'Debtor\'s on open account'";चालू खातेवाले देनदार;बचत खातेवाले देनदार;सावधि खातेवाले देनदार;ऋण खातेवाले देनदार;0
"Choose the correct meaning of 'Debts considered bad/doubtful/good'";शोध्य-अशोध्य-संदिग्ध समझे गए कर्ज;माफ किए गए कर्ज;वसूले गए कर्ज;लिखित अपलिखित कर्ज;0
"Select the correct Hindi translation for 'Decarbonisation of economy'";अर्थव्यवस्था का विकार्बनीकरण;अर्थव्यवस्था का उदारीकरण;अर्थव्यवस्था का निजीकरण;अर्थव्यवस्था का वैश्वीकरण;0
"In a professional context, what does 'Deceased depositor' mean?";दिवंगत जमाकर्ता;नाबालिग जमाकर्ता;अनिवासी जमाकर्ता;संयुक्त जमाकर्ता;0
"What is the technical term for 'Deceased drawer'";दिवंगत चेककर्ता / आहर्ता;नाबालिग आहर्ता;पागल आहर्ता;दिवालिया आहर्ता;0
"Identify the correct Hindi translation for 'Decelerated growth'";मंद संवृद्धि;तीव्र संवृद्धि;स्थिर संवृद्धि;नकारात्मक संवृद्धि;0
"Select the correct Hindi translation for 'Decelerating growth'";मंद हो रही संवृद्धि;बढ़ रही संवृद्धि;स्थिर हो रही संवृद्धि;रुक गई संवृद्धि;0
"What is the Hindi equivalent of 'Decentralization of capital'";पूंजी का विकेंद्रीकरण;पूंजी का केंद्रीयकरण;पूंजी का निर्माण;पूंजी का विनाश;0
"Choose the correct meaning of 'Decentralization of loan'";ऋण का विकेंद्रीकरण;ऋण का केंद्रीयकरण;ऋण का वितरण;ऋण का संकुचन;0
"Select the correct Hindi translation for 'Decentralization of power'";शक्ति का विकेंद्रीकरण;शक्ति का केंद्रीयकरण;शक्ति का विभाजन;शक्ति का हस्तांतरण;0
"In a professional context, what does 'Decentralized loan' mean?";विकेंद्रित ऋण;केंद्रीकृत ऋण;सहकारी ऋण;सरकारी ऋण;0
"What is the technical term for 'Decentralized market'";विकेंद्रित बाजार;केंद्रीकृत बाजार;एकाधिकार बाजार;प्रतिस्पर्धी बाजार;0
"Identify the correct Hindi translation for 'Decimal coinage'";दशमलव सिक्का प्रणाली;धातु सिक्का प्रणाली;स्वर्ण सिक्का प्रणाली;रजत सिक्का प्रणाली;0
"Select the correct Hindi translation for 'Decision making machinery'";निर्णयन तंत्र;प्रशासनिक तंत्र;न्यायिक तंत्र;विधायी तंत्र;0
"What is the Hindi equivalent of 'Declarant'";घोषणाकर्ता;आवेदक;प्रतिवादी;गवाह;0
"Choose the correct meaning of 'Declaration'";घोषणा;निवेदन;प्रस्ताव;आदेश;0
"Select the correct Hindi translation for 'Declaration of fidelity and secrecy'";विश्वस्तता एवं गोपनीयता की घोषणा;सत्यनिष्ठा की घोषणा;संपत्ति की घोषणा;आय की घोषणा;0
"In a professional context, what does 'Declaration of share qualification' mean?";शेयर-अर्हता की घोषणा;शेयर-लाभांश की घोषणा;शेयर-अंतरण की घोषणा;शेयर-बिक्री की घोषणा;0
"What is the technical term for 'Declaration of solvency'";शोधन क्षमता की घोषणा;दिवालियापन की घोषणा;लाभ की घोषणा;हानि की घोषणा;0
"Identify the correct Hindi translation for 'Declare ineligible'";अपात्र घोषित करना;पात्र घोषित करना;सफल घोषित करना;असफल घोषित करना;0
"Select the correct Hindi translation for 'Declare value'";घोषित मूल्य;बाजार मूल्य;अंकित मूल्य;लागत मूल्य;0
"What is the Hindi equivalent of 'Declared insolvent'";घोषित दिवालिया;घोषित अपराधी;घोषित ऋणी;घोषित भगोड़ा;0
"Choose the correct meaning of 'Declared valuation rate'";घोषित मुल्यन दर;बाजार दर;सरकारी दर;बैंक दर;0
"Select the correct Hindi translation for 'Decline'";1. अस्वीकार करना / नकारना 2. गिग्ना;स्वीकार करना;बढ़ना;रुकना;0
"In a professional context, what does 'Declining inflation' mean?";गिरती मुद्रास्फीति;बढ़ती मुद्रास्फीति;स्थिर मुद्रास्फीति;शून्य मुद्रास्फीति;0
"What is the technical term for 'Declining market'";गिरता बाजार;चढ़ता बाजार;स्थिर बाजार;बंद बाजार;0
"Identify the correct Hindi translation for 'Declining price'";गिरती कीमत;बढ़ती कीमत;स्थिर कीमत;नियत कीमत;0
"Select the correct Hindi translation for 'Decode'";कूट शब्दों को पढ़ना;कूट शब्द बनाना;कूट शब्द छिपाना;कूट शब्द बदलना;0
"What is the Hindi equivalent of 'Deconfirmation'";पुष्टि रद्द करना;पुष्टि करना;पुष्टि मांगना;पुष्टि भेजना;0
"Choose the correct meaning of 'Decontrol'";विनियंत्रण;नियंत्रण;प्रतिबंध;निषेध;0
"Select the correct Hindi translation for 'Decrease'";1. कमी / गिरावट 2. कम होना / घटना;वृद्धि;अधिकता;विस्तार;0
"In a professional context, what does 'Decreasing cost' mean?";घटती लागत;बढ़ती लागत;स्थिर लागत;औसत लागत;0
"What is the technical term for 'Decreasing demand'";घटती माग;बढ़ती मांग;स्थिर मांग;औसत मांग;0
"Identify the correct Hindi translation for 'Decree'";डिक्री;आदेश;निर्णय;फैसला;0
"Select the correct Hindi translation for 'Decree holder'";डिक्री-प्राप्त लेनदार / डिक्रीदार;निर्णित ऋणी;वादी;प्रतिवादी;0
"What is the Hindi equivalent of 'Decree nisi'";अपेक्षात्मक डिक्री;अंतिम डिक्री;प्रारंभिक डिक्री;संशोधित डिक्री;0
"Choose the correct meaning of 'Deduct'";काटना;जोड़ना;गुणा करना;भाग देना;0
"Select the correct Hindi translation for 'Deduct refunds'";घटाएं - धनवापसी;जोड़ें - धनवापसी;गुणा करें - धनवापसी;भाग दें - धनवापसी;0
"In a professional context, what does 'Deduct entries' mean?";कटौती संबंधी प्रविष्टिया / नामे प्रविष्टिया;जमा प्रविष्टिया;सुधार प्रविष्टिया;समायोजन प्रविष्टिया;0
"What is the technical term for 'Deductable'";कटौतीयोग्य;करयोग्य;वसूलीयोग्य;देय;0
"Identify the correct Hindi translation for 'Deduction at source'";स्रोत पर कटौती;भुगतान पर कटौती;जमा पर कटौती;ब्याज पर कटौती;0
"Select the correct Hindi translation for 'Deed'";विलेख;दस्तावेज;प्रमाणपत्र;रसीद;0
"What is the Hindi equivalent of 'Deed of agreement'";कगर विलेख;बिक्री विलेख;किराया विलेख;पट्टा विलेख;0
"Choose the correct meaning of 'Deed of assignment'";समन्देशन विलेख;अंतरण विलेख;न्यास विलेख;बंधक विलेख;0
"Select the correct Hindi translation for 'Deed of association'";कपनी का विवरणपत्र / की नियमावली;साझेदारी विलेख;सहकारी समिति नियम;न्यास विलेख;0
"In a professional context, what does 'Deed of contract' mean?";संविदा / ठेका विलेख;बिक्री विलेख;किराया विलेख;पट्टा विलेख;0
"What is the technical term for 'Deed of lease'";पट्टा विलेख;किराया विलेख;बिक्री विलेख;बंधक विलेख;0
"Identify the correct Hindi translation for 'Deed of mortgage'";बधकपत्र / बंधक विलेख;पट्टा विलेख;बिक्री विलेख;किराया विलेख;0
"Select the correct Hindi translation for 'Deed of partnership'";भागोदारी विलेख;कंपनी विलेख;सहकारी विलेख;न्यास विलेख;0
"What is the Hindi equivalent of 'Deed of sale'";बिक्री विलेख;खरीद विलेख;किराया विलेख;पट्टा विलेख;0
"Choose the correct meaning of 'Deed of settlement'";समझौता विलेख;विवाद विलेख;बंटवारा विलेख;वसीयत विलेख;0
"Select the correct Hindi translation for 'Deed of transfer'";अतरण / हस्तातरण विलेख;बिक्री विलेख;किराया विलेख;पट्टा विलेख;0
"In a professional context, what does 'Deep discount' mean?";अत्यधिक बट्टा;कम बट्टा;साधारण बट्टा;शून्य बट्टा;0
"What is the technical term for 'Deep discount bond'";अत्यधिक बट्टाकृत बॉण्ड;प्रीमियम बॉण्ड;सममूल्य बॉण्ड;फ्लोटिंग रेट बॉण्ड;0
"Identify the correct Hindi translation for 'Deep market'";गहन बाजार;उथला बाजार;सीमित बाजार;स्थानीय बाजार;0
"Select the correct Hindi translation for 'Deep pocketed investors'";धनी निवेशक;गरीब निवेशक;छोटे निवेशक;संस्थागत निवेशक;0
"What is the Hindi equivalent of 'Deepening of capital'";पूंजी-प्रधानता में वृद्धि;पूंजी की कमी;पूंजी का प्रसार;पूंजी का संकुचन;0
"Choose the correct meaning of 'Deepening of market'";बाजार में गहनता लाना;बाजार का विस्तार करना;बाजार को सीमित करना;बाजार को बंद करना;0
"Select the correct Hindi translation for 'Defaced coin / note'";विरूपित / विकृत सिक्का / नोट;जाली सिक्का / नोट;नया सिक्का / नोट;विदेशी सिक्का / नोट;0
"In a professional context, what does 'Defalcation' mean?";गबन / खयानत;चोरी;डकैती;लूट;0
"What is the technical term for 'Defalcation and losses'";गबन / खयानत और हानियां;लाभ और हानि;आय और व्यय;संपत्ति और दायित्व;0
"Identify the correct Hindi translation for 'Default'";चूक / व्यतिक्रम;पालन;अनुपालन;सफलता;0
"Select the correct Hindi translation for 'Default in installment payment'";किस्त के भुगतान में चूक / व्यतिक्रम;किस्त का भुगतान;किस्त की माफी;किस्त का स्थगन;0
"What is the Hindi equivalent of 'Default in payment'";भुगतान में चूक / व्यतिक्रम;अग्रिम भुगतान;विलंबित भुगतान;आंशिक भुगतान;0
"Choose the correct meaning of 'Default swap'";चूक अदला-बदली (स्वैप);मुद्रा स्वैप;ब्याज स्वैप;परिसंपत्ति स्वैप;0
"Select the correct Hindi translation for 'Defaulted account'";चूक खाता;चालू खाता;बचत खाता;सावधि खाता;0
"In a professional context, what does 'Defaulted amount' mean?";चूक की राशि;जमा राशि;निकासी राशि;ब्याज राशि;0
